Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Drama",fr,2017-06-21,6.0,dog;sight;learns,Ava
"War, Drama, Action",en,2014-10-15,7.5,months;nazi;mission,Fury
"Thriller, Horror",en,2021-08-12,7.4,devastating;cabin;forcing,Don't Breathe 2
"Action, Comedy, Adventure",es,2021-10-01,7.8,cannibal;alongside;memory,Matando Cabos 2: La Máscara del Máscara
"Action, Fantasy, Adventure",en,2020-12-03,6.8,hunter;ferocity;soldiers,Monster Hunter
"Action, Romance, Animation",ja,2014-12-06,7.9,fate;sister;otsutsuki,The Last: Naruto the Movie
"Action, Adventure, Science Fiction, Drama",en,2017-07-05,7.4,queens;fighting;parker,Spider-Man: Homecoming
"Science Fiction, Comedy",fr,2022-02-11,5.4,ai;coup;robots,Bigbug
"Fantasy, Action",en,2002-05-01,7.2,genetically;oscorp;known,Spider-Man
"Adventure, Science Fiction, Action",en,2019-04-24,8.3,infinity;avengers;efforts,Avengers: Endgame
"Thriller, Mystery, Horror",en,2021-07-21,6.6,–;day;tropical,Old
"Action, Science Fiction, Drama",en,2011-09-28,6.9,rebuild;sport;estranged,Real Steel
"Romance, Comedy",ko,2022-02-11,6.3,co-workers;contractual;relationship,Love and Leashes
"Romance, Drama",en,2019-04-11,7.2,wants;high;semester,After
"Horror, Action, Thriller",en,2021-06-30,7.3,want;stop;rules,The Forever Purge
"Comedy, Drama, Romance",en,2022-02-11,6.0,causing;stand;jodi,Tall Girl 2
"Drama, Comedy",en,2022-02-17,8.3,funeral;trip;along,Dog
"Drama, Science Fiction, Thriller",en,2007-12-12,7.2,alone;spread;there,I Am Legend
"Animation, Action, Fantasy",ja,2007-08-04,7.2,shion;decides;meaning,Naruto Shippuden the Movie
"Comedy, Family, Animation",en,2021-02-10,7.0,kayla;employee;hotel,Tom & Jerry
"Adventure, History, Drama",en,2022-02-10,7.0,greenland;denmark;survive,Against the Ice
"Animation, Comedy",es,2021-08-12,8.1,taken;event;they're,An Egg Rescue
"Adventure, Fantasy, Family",en,2005-11-16,7.8,battle;schools—the;fire,Harry Potter and the Goblet of Fire
"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",ja,2021-02-11,8.1,comes;care;sailor,Pretty Guardian Sailor Moon Eternal The Movie Part 2
"Horror, Thriller",en,2021-07-29,4.8,revealed;demons;supernatural,Demonic
"Animation, Family",en,2021-11-24,8.1,parent;better;beach,Far From the Tree
"Horror, Thriller, Adventure, Mystery",en,2020-07-09,5.1,adventure-loving;approaching;forests,Black Water: Abyss
"Animation, Drama, Romance",ja,2020-12-11,6.7,kei;doesn't;popular,Yes, No, or Maybe Half?
"Family, Animation, Fantasy, Adventure, Comedy",en,2020-08-14,7.6,mission;suddenly;bikini,The SpongeBob Movie: Sponge on the Run
"Action, Adventure, Animation, Science Fiction",en,2018-12-06,8.4,spider-man;dimension;fisk,Spider-Man: Into the Spider-Verse
"Adventure, Fantasy",en,2004-05-31,8.0,year;learns;turning,Harry Potter and the Prisoner of Azkaban
"Crime, Action, Thriller",en,2021-03-03,7.1,fortress;impenetrable;legendary,The Vault
"Science Fiction, Adventure, Comedy",en,2022-03-09,6.0,self;2022;pilot,The Adam Project
"Action, Adventure, Comedy",en,2016-02-09,7.6,wilson;nearly;dark,Deadpool
"Western",en,2021-10-22,6.7,gunning;ruthless;nat,The Harder They Fall
"Animation, Comedy, Family",en,2001-11-01,7.8,james;mike;sullivan,Monsters, Inc.
"Adventure, Animation, Family, Fantasy",en,2021-02-09,7.1,embark;quest;spectacular,Ainbo: Spirit of the Amazon
"Comedy, Drama, Science Fiction",en,2021-12-07,7.2,planet;astronomers;humankind,Don't Look Up
"Animation, Adventure, Comedy, Family",en,2017-06-15,6.8,cup;late;hornet,Cars 3
"Fantasy, Action, Adventure",en,2007-05-01,6.3,gets;nemesis;shape-shifting,Spider-Man 3
"Western, Action, Thriller",en,2021-12-03,6.4,reclaim;had;attempts,Last Shoot Out
"Horror",en,2019-07-21,5.4,attempting;claim;observed,Sator
"Adventure, Action, Science Fiction",en,2010-04-28,6.8,tony;armored;faces,Iron Man 2
"Animation, Comedy, Fantasy, Family",en,2020-12-25,8.2,club;22;audition,Soul
"Adventure, Action, Fantasy",en,2011-05-14,6.5,pirate;who's;paths,Pirates of the Caribbean: On Stranger Tides
"Horror, Thriller",en,2021-02-28,5.4,quest;test;five,Phobias
"Science Fiction, Thriller, Horror",en,2021-05-21,7.6,terrors;beyond;sand,A Quiet Place Part II
"Horror, Drama, Thriller",it,1972-10-14,5.7,murdered;wealthy;wife,What the Peeper Saw
"Action, Crime",en,2023-04-06,0.0,fast;saga;installment,Fast & Furious 10
"Action, Crime, Drama, Thriller",en,2012-07-16,7.8,dark;hunted;later,The Dark Knight Rises
"Animation, Fantasy, Family",en,2021-11-26,7.6,go;queen;quite,Trolls Holiday in Harmony
"Action, Adventure, Fantasy",en,2016-03-23,5.9,quickly;formidable;it’s,Batman v Superman: Dawn of Justice
"Thriller, Horror",en,2021-09-01,7.2,motherly;sinister;daughter,Motherly
"Action, Crime, Thriller",en,2021-03-18,8.2,dad;secrets;ignited,Nobody
"Animation, Action, Adventure, Fantasy",ja,2018-08-03,8.0,special;ones;wall,My Hero Academia: Two Heroes
"Adventure, Fantasy",en,2009-07-07,7.7,showdown;work;horace,Harry Potter and the Half-Blood Prince
"Comedy, Romance",en,2022-01-06,5.3,rewritten;writer;attract,Book of Love
"Action, Science Fiction, Thriller",en,2021-08-26,5.0,sends;primitive;–,Jurassic Hunt
"Drama",en,2021-12-25,7.2,grocery;champion;two-time,American Underdog
"Drama, Action, Crime, Thriller",en,2008-07-14,8.5,gordon;batman;effective,The Dark Knight
"Animation, Action, Adventure, Mystery",ja,2021-02-24,7.8,yuta;plight;nervous,Jujutsu Kaisen 0
"Action, Crime, Drama, Thriller",en,2020-07-02,5.7,goes;dangerously;ops,Ava
