Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
War, Drama, Action,en,2014-10-15,7.5,months;sherman;enemy,Fury
Thriller, Horror,en,2021-08-12,7.4,blind;forcing;orphaned,Don't Breathe 2
Action, Comedy, Adventure,es,2021-10-01,7.8,past;tony;invincible,Matando Cabos 2: La Máscara del Máscara
Action, Fantasy, Adventure,en,2020-12-03,6.8,rule;monsters;portal,Monster Hunter
Action, Romance, Animation,ja,2014-12-06,7.9,abducting;destroy;themselves,The Last: Naruto the Movie
Action, Adventure, Science Fiction, Drama,en,2017-07-05,7.4,balance;superhero;stark,Spider-Man: Homecoming
Science Fiction, Comedy,fr,2022-02-11,5.4,alice's;nostalgic;so,Bigbug
Fantasy, Action,en,2002-05-01,7.2,spider;spider-man;peter,Spider-Man
Adventure, Science Fiction, Action,en,2019-04-24,8.3,thanos;mad;universe,Avengers: Endgame
Thriller, Mystery, Horror,en,2021-07-21,6.6,–;reducing;discover,Old
Action, Science Fiction, Drama,en,2011-09-28,6.9,sport;estranged;train,Real Steel
Romance, Comedy,ko,2022-02-11,6.3,contractual;pain;so,Love and Leashes
Romance, Drama,en,2019-04-11,7.2,student;meets;hardin,After
Horror, Action, Thriller,en,2021-06-30,7.3,lawless;stop;want,The Forever Purge
Comedy, Drama, Romance,en,2022-02-11,6.0,kreyman;stand;around,Tall Girl 2
Drama, Comedy,en,2022-02-17,8.3,pacific;dog;trip,Dog
Drama, Science Fiction, Thriller,en,2007-12-12,7.2,radio;left;city,I Am Legend
Animation, Action, Fantasy,ja,2007-08-04,7.2,naruto;meaning;maiden,Naruto Shippuden the Movie
Comedy, Family, Animation,en,2021-02-10,7.0,york;tom;kicked,Tom & Jerry
Adventure, History, Drama,en,2022-02-10,7.0,denmark;fight;survive,Against the Ice
Animation, Comedy,es,2021-08-12,8.1,africa;toto;egg,An Egg Rescue
Adventure, Fantasy, Family,en,2005-11-16,7.8,fire;emerges;schools—the,Harry Potter and the Goblet of Fire
Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance,ja,2021-02-11,8.1,begins;outer;hotaru,Pretty Guardian Sailor Moon Eternal The Movie Part 2
Horror, Thriller,en,2021-07-29,4.8,terrifying;revealed;supernatural,Demonic
Animation, Family,en,2021-11-24,8.1,parent;idyllic;better,Far From the Tree
Horror, Thriller, Adventure, Mystery,en,2020-07-09,5.1,fall;storm;brought,Black Water: Abyss
Animation, Drama, Romance,ja,2020-12-11,6.7,inside;doesn't;no,Yes, No, or Maybe Half?
Family, Animation, Fantasy, Adventure, Comedy,en,2020-08-14,7.6,gary;pink-shelled;best,The SpongeBob Movie: Sponge on the Run
Action, Adventure, Animation, Science Fiction,en,2018-12-06,8.4,collider;uses;miles,Spider-Man: Into the Spider-Verse
Adventure, Fantasy,en,2004-05-31,8.0,castle;year;soul-sucking,Harry Potter and the Prisoner of Azkaban
Crime, Action, Thriller,en,2021-03-03,7.1,legendary;spain;spain's,The Vault
Science Fiction, Adventure, Comedy,en,2022-03-09,6.0,self;reed;12-year-old,The Adam Project
Action, Adventure, Comedy,en,2016-02-09,7.6,forces;dark;rogue,Deadpool
Western,en,2021-10-22,6.7,ruthless;enemy;got,The Harder They Fall
Animation, Comedy, Family,en,2001-11-01,7.8,could;kids;children,Monsters, Inc.
Adventure, Animation, Family, Fantasy,en,2021-02-09,7.1,amazon;cute;tapir,Ainbo: Spirit of the Amazon
Comedy, Drama, Science Fiction,en,2021-12-07,7.2,media;go;approaching,Don't Look Up
Animation, Adventure, Comedy, Family,en,2017-06-15,6.8,blindsided;unexpected;generation,Cars 3
Fantasy, Action, Adventure,en,2007-05-01,6.3,parker;peter;crop,Spider-Man 3
Western, Action, Thriller,en,2021-12-03,6.4,bride;shot;flees,Last Shoot Out
Horror,en,2019-07-21,5.4,secluded;forest;desolate,Sator
Adventure, Action, Science Fiction,en,2010-04-28,6.8,invention;stark;–,Iron Man 2
Animation, Comedy, Fantasy, Family,en,2020-12-25,8.2,child;enlist;jazz,Soul
Adventure, Action, Fantasy,en,2011-05-14,6.5,ship;unexpected;past,Pirates of the Caribbean: On Stranger Tides
Horror, Thriller,en,2021-02-28,5.4,dangerous;ultimate;under,Phobias
Science Fiction, Thriller, Horror,en,2021-05-21,7.6,forced;threats;hunt,A Quiet Place Part II
